ID,AREA_DESC,ROADNAME,Area,TOTAL_SPACES,DIPPED_FOOTPATH,PARK_SIGN,ROAD_MARKING,OCCUPIED,Adjacent_Services,LAT,LONG
547,Sports Link Carpark,NA,,3, ,TRUE,TRUE, ,Sports Club,53.4080729065508,-6.24725499225952
548,Starlights GAA,NA,,2,TRUE, ,TRUE, ,Sports Club,53.4078444728708,-6.24777908119596
549,Starlights GAA,NA,,2,TRUE, ,TRUE, ,Sports Club,53.4078458663446,-6.24784548860746
550,PST Sports Club,NA,,2,TRUE, ,TRUE, ,Sports Club,53.4082451383663,-6.24150067420222
551,PST Sports Club,NA,,2,TRUE, ,TRUE, ,Sports Club,53.4083594620746,-6.24145345415717
552,Outside Pavillions Main Entrance,NA,,10,TRUE,TRUE,TRUE,TRUE,Shopping Centre,53.4538894052642,-6.21849954846466
553,Balbriggan Town Centre and Church Carpark,N1,,5, , , , ,"Church, Town Centre",53.6044242981734,-6.1845757068598
554,Malahide Castle,DUBLIN ROAD,,2, , ,TRUE, ,Park,53.4500329757561,-6.15714511173671
555,Skerries Train Station,TRAIN STATION ACCESS,,6, ,TRUE,TRUE,TRUE,Train,53.5743376808592,-6.11931950225676
556,Skerries Community Centre,THOMAS HAND STREET,,1,TRUE, ,TRUE, ,Community Centre,53.5775543146579,-6.11167468007598
557,Skerries Community Centre,THOMAS HAND STREET,,1, ,TRUE, , ,Community Centre,53.5779634679959,-6.1115073280572
558,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819278001984,-6.16071435872819
559,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5818990450024,-6.16070429930321
560,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819614613911,-6.1605510354009
561,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819326283644,-6.16053603300752
562,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5820127745325,-6.16030495773492
563,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819899359412,-6.16029676063063
564,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5820277332997,-6.16021100638813
565,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5820073399188,-6.16019775816912
566,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.581977510082,-6.16047329755074
567,Ardgillan Demesne,NA,,2, , ,TRUE, ,Park,53.5819507679084,-6.16045749452464
568,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862804888983,-6.40005291083928
569,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862563495708,-6.39991594624963
570,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862610692269,-6.39976168249093
571,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862495287662,-6.39962424853018
572,Millennium Park,Snugborough Road Extension,, , , ,TRUE, ,Park,53.3862523094166,-6.39947005599576
